,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,0.204,0.082,0.049,0.02,0.007,0.008,0.001,0.002,0.001,0,0,0,0,0,0,0,0,0
4,0.502,0.32,0.207,0.137,0.094,0.049,0.034,0.021,0.015,0.008,0.008,0.006,0.001,0,0.001,0,0.001,0
5,0.658,0.456,0.368,0.227,0.164,0.116,0.086,0.051,0.038,0.032,0.019,0.006,0.005,0.004,0.004,0.001,0,0
6,0.773,0.633,0.499,0.408,0.311,0.222,0.159,0.113,0.086,0.039,0.036,0.026,0.02,0.012,0.008,0.009,0.003,0.003
7,0.857,0.74,0.644,0.518,0.428,0.313,0.27,0.207,0.142,0.103,0.07,0.063,0.043,0.037,0.022,0.014,0.016,0.007
8,0.914,0.835,0.748,0.653,0.517,0.443,0.377,0.284,0.215,0.174,0.133,0.112,0.063,0.053,0.036,0.04,0.023,0.028
9,0.94,0.9,0.829,0.736,0.642,0.559,0.468,0.345,0.315,0.232,0.21,0.159,0.093,0.085,0.066,0.065,0.038,0.022
10,0.971,0.923,0.89,0.82,0.741,0.647,0.571,0.477,0.429,0.341,0.257,0.233,0.177,0.148,0.106,0.078,0.071,0.035
11,0.98,0.965,0.912,0.86,0.81,0.732,0.651,0.58,0.508,0.417,0.365,0.278,0.231,0.187,0.169,0.129,0.111,0.079
12,0.989,0.967,0.947,0.895,0.861,0.801,0.728,0.653,0.549,0.496,0.45,0.367,0.285,0.27,0.215,0.17,0.145,0.105
13,0.993,0.984,0.959,0.945,0.884,0.851,0.785,0.714,0.624,0.568,0.509,0.439,0.376,0.323,0.261,0.242,0.188,0.161
14,0.998,0.989,0.969,0.954,0.935,0.889,0.815,0.811,0.728,0.662,0.586,0.535,0.437,0.421,0.325,0.289,0.243,0.211
15,0.999,0.986,0.99,0.969,0.947,0.916,0.884,0.827,0.8,0.731,0.669,0.582,0.53,0.46,0.417,0.345,0.312,0.249
16,0.997,0.997,0.988,0.98,0.977,0.941,0.929,0.862,0.828,0.779,0.724,0.657,0.624,0.542,0.487,0.403,0.367,0.307
17,0.999,0.999,0.991,0.99,0.97,0.95,0.933,0.907,0.886,0.834,0.781,0.74,0.671,0.586,0.567,0.491,0.437,0.399
18,0.999,0.998,0.995,0.993,0.979,0.983,0.945,0.935,0.898,0.86,0.815,0.781,0.738,0.664,0.627,0.559,0.519,0.457
19,0.999,1,0.995,0.995,0.984,0.982,0.966,0.966,0.918,0.919,0.863,0.815,0.773,0.736,0.665,0.609,0.591,0.502
20,0.999,0.998,0.997,0.999,0.995,0.988,0.982,0.972,0.963,0.921,0.908,0.871,0.825,0.748,0.729,0.714,0.615,0.575
,,,,,,,,,,,,,,,,,,
,A,D,For A,For D,,,,,,,,,,,,,,
,8,4,0.835,0.165,,,,,,,,,,,,,,
,4,8,0.049,0.951,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,A,D,,,,,,,,,,,,,,,,
Offset,1,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Diag,0.502,0.456,0.499,0.518,0.517,0.559,0.571,0.58,0.549,0.568,0.586,0.582,0.624,0.586,0.627,0.609,0.615,0
