,round,net_9_armies,net_9_income,net_9_countries,net_9_continents,Random_1_armies,Random_1_income,Random_1_countries,Random_1_continents
0,1,0,3,0,0,11,7,4,4
1,0,14,7,4,4,0,3,0,0
2,1,0,3,0,0,18,7,4,4
3,0,16,7,4,4,0,3,0,0
4,0,9,7,4,4,0,3,0,0
5,1,0,3,0,0,18,7,4,4
6,1,0,3,0,0,6,7,4,4
7,1,0,3,0,0,7,7,4,4
8,0,18,7,4,4,0,3,0,0
9,0,14,7,4,4,0,3,0,0
10,0,30,7,4,4,0,3,0,0
11,1,0,3,0,0,6,7,4,4
12,0,20,7,4,4,0,3,0,0
13,0,22,7,4,4,0,3,0,0
14,0,23,7,4,4,0,3,0,0
15,0,24,7,4,4,0,3,0,0
16,0,10,7,4,4,0,3,0,0
17,0,18,7,4,4,0,3,0,0
18,0,6,7,4,4,0,3,0,0
19,0,24,7,4,4,0,3,0,0
20,0,10,7,4,4,0,3,0,0
21,0,29,7,4,4,0,3,0,0
22,0,25,7,4,4,0,3,0,0
23,0,19,7,4,4,0,3,0,0
24,0,20,7,4,4,0,3,0,0
25,0,19,7,4,4,0,3,0,0
26,0,23,7,4,4,0,3,0,0
27,0,5,7,4,4,0,3,0,0
28,0,18,7,4,4,0,3,0,0
29,0,22,7,4,4,0,3,0,0
30,1,0,3,0,0,8,7,4,4
31,0,15,7,4,4,0,3,0,0
32,1,0,3,0,0,10,7,4,4
33,1,0,3,0,0,7,7,4,4
34,0,7,7,4,4,0,3,0,0
35,0,15,7,4,4,0,3,0,0
36,1,0,3,0,0,32,7,4,4
37,0,8,7,4,4,0,3,0,0
38,0,13,7,4,4,0,3,0,0
39,1,0,3,0,0,15,7,4,4
40,0,10,7,4,4,0,3,0,0
41,0,19,7,4,4,0,3,0,0
42,0,19,7,4,4,0,3,0,0
43,0,13,7,4,4,0,3,0,0
44,0,28,7,4,4,0,3,0,0
45,0,10,7,4,4,0,3,0,0
46,0,24,7,4,4,0,3,0,0
47,1,0,3,0,0,10,7,4,4
48,0,29,7,4,4,0,3,0,0
49,0,18,7,4,4,0,3,0,0
50,0,23,7,4,4,0,3,0,0
51,0,36,7,4,4,0,3,0,0
52,0,19,7,4,4,0,3,0,0
53,1,0,3,0,0,6,7,4,4
54,0,11,7,4,4,0,3,0,0
55,1,0,3,0,0,17,7,4,4
56,0,27,7,4,4,0,3,0,0
57,0,7,7,4,4,0,3,0,0
58,0,25,7,4,4,0,3,0,0
59,0,11,7,4,4,0,3,0,0
60,1,0,3,0,0,10,7,4,4
61,0,14,7,4,4,0,3,0,0
62,0,12,7,4,4,0,3,0,0
63,1,0,3,0,0,26,7,4,4
64,0,9,7,4,4,0,3,0,0
65,0,22,7,4,4,0,3,0,0
66,0,11,7,4,4,0,3,0,0
67,0,17,7,4,4,0,3,0,0
68,1,0,3,0,0,16,7,4,4
69,1,0,3,0,0,12,7,4,4
70,0,25,7,4,4,0,3,0,0
71,0,21,7,4,4,0,3,0,0
72,1,0,3,0,0,8,7,4,4
73,0,24,7,4,4,0,3,0,0
74,0,17,7,4,4,0,3,0,0
75,0,20,7,4,4,0,3,0,0
76,0,8,7,4,4,0,3,0,0
77,0,11,7,4,4,0,3,0,0
78,0,14,7,4,4,0,3,0,0
79,0,10,7,4,4,0,3,0,0
80,0,9,7,4,4,0,3,0,0
81,0,26,9,4,4,0,3,0,0
82,0,24,7,4,4,0,3,0,0
83,0,20,7,4,4,0,3,0,0
84,0,9,7,4,4,0,3,0,0
85,0,22,7,4,4,0,3,0,0
86,0,13,7,4,4,0,3,0,0
87,1,0,3,0,0,6,7,4,4
88,0,20,7,4,4,0,3,0,0
89,0,16,7,4,4,0,3,0,0
90,0,36,7,4,4,0,3,0,0
91,1,0,3,0,0,16,7,4,4
92,0,27,7,4,4,0,3,0,0
93,0,18,7,4,4,0,3,0,0
94,1,0,3,0,0,6,7,4,4
95,0,18,7,4,4,0,3,0,0
96,0,6,7,4,4,0,3,0,0
97,0,8,7,4,4,0,3,0,0
98,0,16,7,4,4,0,3,0,0
99,0,7,7,4,4,0,3,0,0
