,round,net_9_armies,net_9_income,net_9_countries,net_9_continents,net_1_armies,net_1_income,net_1_countries,net_1_continents
0,0,15,7,4,4,0,3,0,0
1,0,6,7,4,4,0,3,0,0
2,0,6,7,4,4,0,3,0,0
3,0,4,7,4,4,0,3,0,0
4,1,0,3,0,0,10,7,4,4
5,0,11,7,4,4,0,3,0,0
6,0,13,7,4,4,0,3,0,0
7,0,16,7,4,4,0,3,0,0
8,0,22,7,4,4,0,3,0,0
9,1,0,3,0,0,8,7,4,4
10,0,12,7,4,4,0,3,0,0
11,0,6,7,4,4,0,3,0,0
12,0,12,7,4,4,0,3,0,0
13,0,21,7,4,4,0,3,0,0
14,0,15,7,4,4,0,3,0,0
15,0,19,7,4,4,0,3,0,0
16,1,0,3,0,0,13,7,4,4
17,0,13,7,4,4,0,3,0,0
18,1,0,3,0,0,8,7,4,4
19,0,22,7,4,4,0,3,0,0
20,1,0,3,0,0,11,7,4,4
21,0,19,7,4,4,0,3,0,0
22,0,5,7,4,4,0,3,0,0
23,0,31,7,4,4,0,3,0,0
24,0,6,7,4,4,0,3,0,0
25,0,9,7,4,4,0,3,0,0
26,0,13,7,4,4,0,3,0,0
27,1,0,3,0,0,6,7,4,4
28,0,24,7,4,4,0,3,0,0
29,0,27,7,4,4,0,3,0,0
30,1,0,3,0,0,9,7,4,4
31,0,32,7,4,4,0,3,0,0
32,0,15,7,4,4,0,3,0,0
33,1,0,3,0,0,15,7,4,4
34,0,11,7,4,4,0,3,0,0
35,0,11,7,4,4,0,3,0,0
36,1,0,3,0,0,6,7,4,4
37,0,10,7,4,4,0,3,0,0
38,0,13,7,4,4,0,3,0,0
39,1,0,3,0,0,9,7,4,4
40,0,5,7,4,4,0,3,0,0
41,0,5,7,4,4,0,3,0,0
42,0,13,7,4,4,0,3,0,0
43,1,0,3,0,0,21,7,4,4
44,0,8,7,4,4,0,3,0,0
45,0,11,7,4,4,0,3,0,0
46,1,0,3,0,0,21,7,4,4
47,0,18,7,4,4,0,3,0,0
48,0,9,7,4,4,0,3,0,0
49,0,11,7,4,4,0,3,0,0
50,0,23,7,4,4,0,3,0,0
51,0,22,7,4,4,0,3,0,0
52,0,10,7,4,4,0,3,0,0
53,1,0,3,0,0,18,7,4,4
54,0,14,7,4,4,0,3,0,0
55,1,0,3,0,0,12,7,4,4
56,0,13,7,4,4,0,3,0,0
57,1,0,3,0,0,12,7,4,4
58,0,22,7,4,4,0,3,0,0
59,0,16,7,4,4,0,3,0,0
60,0,23,7,4,4,0,3,0,0
61,0,13,7,4,4,0,3,0,0
62,0,20,7,4,4,0,3,0,0
63,0,6,7,4,4,0,3,0,0
64,1,0,3,0,0,23,7,4,4
65,0,19,7,4,4,0,3,0,0
66,0,25,7,4,4,0,3,0,0
67,0,18,7,4,4,0,3,0,0
68,0,9,7,4,4,0,3,0,0
69,0,16,7,4,4,0,3,0,0
70,1,0,3,0,0,13,7,4,4
71,0,32,7,4,4,0,3,0,0
72,1,0,3,0,0,18,7,4,4
73,0,22,7,4,4,0,3,0,0
74,1,0,3,0,0,5,7,4,4
75,0,22,7,4,4,0,3,0,0
76,0,17,7,4,4,0,3,0,0
77,0,11,7,4,4,0,3,0,0
78,0,5,7,4,4,0,3,0,0
79,1,0,3,0,0,7,7,4,4
80,0,8,7,4,4,0,3,0,0
81,0,9,7,4,4,0,3,0,0
82,1,0,3,0,0,12,7,4,4
83,0,26,7,4,4,0,3,0,0
84,1,0,3,0,0,5,7,4,4
85,0,12,7,4,4,0,3,0,0
86,1,0,3,0,0,8,7,4,4
87,1,0,3,0,0,20,7,4,4
88,0,17,7,4,4,0,3,0,0
89,0,12,7,4,4,0,3,0,0
90,0,6,7,4,4,0,3,0,0
91,1,0,3,0,0,21,7,4,4
92,0,5,7,4,4,0,3,0,0
93,0,17,7,4,4,0,3,0,0
94,0,15,7,4,4,0,3,0,0
95,0,13,7,4,4,0,3,0,0
96,0,24,7,4,4,0,3,0,0
97,0,10,7,4,4,0,3,0,0
98,0,19,7,4,4,0,3,0,0
99,0,18,7,4,4,0,3,0,0
