,round,net_1_armies,net_1_income,net_1_countries,net_1_continents,net_9_armies,net_9_income,net_9_countries,net_9_continents
0,1,0,3,0,0,6,7,4,4
1,0,16,7,4,4,0,3,0,0
2,0,4,7,4,4,0,3,0,0
3,1,0,3,0,0,17,7,4,4
4,1,0,3,0,0,25,7,4,4
5,1,0,3,0,0,13,7,4,4
6,1,0,3,0,0,9,7,4,4
7,1,0,3,0,0,11,7,4,4
8,1,0,3,0,0,8,7,4,4
9,0,10,7,4,4,0,3,0,0
10,1,0,3,0,0,14,7,4,4
11,1,0,3,0,0,26,7,4,4
12,1,0,3,0,0,19,7,4,4
13,0,8,7,4,4,0,3,0,0
14,0,12,7,4,4,0,3,0,0
15,0,28,7,4,4,0,3,0,0
16,1,0,3,0,0,15,7,4,4
17,0,7,7,4,4,0,3,0,0
18,1,0,3,0,0,9,7,4,4
19,0,14,7,4,4,0,3,0,0
20,1,0,3,0,0,18,7,4,4
21,1,0,3,0,0,10,7,4,4
22,0,26,7,4,4,0,3,0,0
23,1,0,3,0,0,13,7,4,4
24,0,21,7,4,4,0,3,0,0
25,0,20,7,4,4,0,3,0,0
26,0,12,7,4,4,0,3,0,0
27,0,20,7,4,4,0,3,0,0
28,1,0,3,0,0,7,7,4,4
29,1,0,3,0,0,8,7,4,4
30,1,0,3,0,0,9,7,4,4
31,0,14,7,4,4,0,3,0,0
32,0,12,7,4,4,0,3,0,0
33,0,20,7,4,4,0,3,0,0
34,1,0,3,0,0,18,7,4,4
35,0,27,7,4,4,0,3,0,0
36,1,0,3,0,0,17,7,4,4
37,0,20,7,4,4,0,3,0,0
38,0,10,7,4,4,0,3,0,0
39,0,20,7,4,4,0,3,0,0
40,0,25,7,4,4,0,3,0,0
41,1,0,3,0,0,9,7,4,4
42,0,9,7,4,4,0,3,0,0
43,0,11,7,4,4,0,3,0,0
44,1,0,3,0,0,14,7,4,4
45,1,0,3,0,0,9,7,4,4
46,0,7,7,4,4,0,3,0,0
47,0,9,7,4,4,0,3,0,0
48,0,24,7,4,4,0,3,0,0
49,0,17,7,4,4,0,3,0,0
50,0,18,7,4,4,0,3,0,0
51,1,0,3,0,0,16,7,4,4
52,0,38,7,4,4,0,3,0,0
53,1,0,3,0,0,15,7,4,4
54,1,0,3,0,0,33,7,4,4
55,0,11,7,4,4,0,3,0,0
56,1,0,3,0,0,8,7,4,4
57,0,19,7,4,4,0,3,0,0
58,0,5,7,4,4,0,3,0,0
59,1,0,3,0,0,9,7,4,4
60,1,0,3,0,0,10,7,4,4
61,1,0,3,0,0,14,7,4,4
62,1,0,3,0,0,10,7,4,4
63,0,13,7,4,4,0,3,0,0
64,1,0,3,0,0,13,7,4,4
65,1,0,3,0,0,16,7,4,4
66,1,0,3,0,0,20,7,4,4
67,1,0,3,0,0,6,7,4,4
68,1,0,3,0,0,21,7,4,4
69,0,12,7,4,4,0,3,0,0
70,0,10,7,4,4,0,3,0,0
71,1,0,3,0,0,14,7,4,4
72,0,21,7,4,4,0,3,0,0
73,1,0,3,0,0,10,7,4,4
74,0,9,7,4,4,0,3,0,0
75,1,0,3,0,0,18,7,4,4
76,1,0,3,0,0,6,7,4,4
77,0,8,7,4,4,0,3,0,0
78,1,0,3,0,0,28,7,4,4
79,0,8,7,4,4,0,3,0,0
80,0,20,7,4,4,0,3,0,0
81,0,19,7,4,4,0,3,0,0
82,1,0,3,0,0,7,7,4,4
83,1,0,3,0,0,18,7,4,4
84,1,0,3,0,0,17,7,4,4
85,1,0,3,0,0,14,7,4,4
86,1,0,3,0,0,22,7,4,4
87,0,16,7,4,4,0,3,0,0
88,0,9,7,4,4,0,3,0,0
89,1,0,3,0,0,10,7,4,4
90,1,0,3,0,0,24,7,4,4
91,0,25,7,4,4,0,3,0,0
92,0,18,7,4,4,0,3,0,0
93,0,9,7,4,4,0,3,0,0
94,1,0,3,0,0,7,7,4,4
95,0,14,7,4,4,0,3,0,0
96,1,0,3,0,0,11,7,4,4
97,1,0,3,0,0,8,7,4,4
98,0,33,7,4,4,0,3,0,0
99,1,0,3,0,0,14,7,4,4
