,round,Random_0_armies,Random_0_income,Random_0_countries,Random_0_continents,netPlayer_armies,netPlayer_income,netPlayer_countries,netPlayer_continents
0,0,30,7,4,4,0,3,0,0
1,0,19,7,4,4,0,3,0,0
2,1,0,3,0,0,10,7,4,4
3,0,22,7,4,4,0,3,0,0
4,1,0,3,0,0,5,7,4,4
5,0,6,7,4,4,0,3,0,0
6,1,0,3,0,0,18,7,4,4
7,1,0,3,0,0,19,7,4,4
8,1,0,3,0,0,22,7,4,4
9,1,0,3,0,0,5,7,4,4
10,0,11,7,4,4,0,3,0,0
11,0,8,7,4,4,0,3,0,0
12,0,7,7,4,4,0,3,0,0
13,1,0,3,0,0,22,7,4,4
14,1,0,3,0,0,15,7,4,4
15,0,20,7,4,4,0,3,0,0
16,1,0,3,0,0,23,7,4,4
17,0,13,7,4,4,0,3,0,0
18,1,0,3,0,0,4,7,4,4
19,0,21,7,4,4,0,3,0,0
