,round,Random_0_armies,Random_0_income,Random_0_countries,Random_0_continents,net_9_armies,net_9_income,net_9_countries,net_9_continents
0,0,10,7,4,4,0,3,0,0
1,1,0,3,0,0,24,7,4,4
2,0,10,7,4,4,0,3,0,0
3,1,0,3,0,0,8,7,4,4
4,0,6,7,4,4,0,3,0,0
5,1,0,3,0,0,17,7,4,4
6,1,0,3,0,0,10,7,4,4
7,0,6,7,4,4,0,3,0,0
8,1,0,3,0,0,9,7,4,4
9,0,17,7,4,4,0,3,0,0
10,1,0,3,0,0,23,7,4,4
11,1,0,3,0,0,15,7,4,4
12,1,0,3,0,0,7,7,4,4
13,0,23,7,4,4,0,3,0,0
14,0,6,7,4,4,0,3,0,0
15,1,0,3,0,0,14,7,4,4
16,1,0,3,0,0,12,7,4,4
17,1,0,3,0,0,16,7,4,4
18,1,0,3,0,0,17,7,4,4
19,1,0,3,0,0,13,7,4,4
20,1,0,3,0,0,5,7,4,4
21,1,0,3,0,0,17,7,4,4
22,0,18,7,4,4,0,3,0,0
23,1,0,3,0,0,15,7,4,4
24,1,0,3,0,0,11,7,4,4
25,1,0,3,0,0,18,7,4,4
26,0,11,7,4,4,0,3,0,0
27,0,13,7,4,4,0,3,0,0
28,0,13,7,4,4,0,3,0,0
29,1,0,3,0,0,11,7,4,4
30,0,18,7,4,4,0,3,0,0
31,0,21,7,4,4,0,3,0,0
32,1,0,3,0,0,15,7,4,4
33,0,6,7,4,4,0,3,0,0
34,1,0,3,0,0,11,7,4,4
35,1,0,3,0,0,12,7,4,4
36,0,16,7,4,4,0,3,0,0
37,0,23,7,4,4,0,3,0,0
38,1,0,3,0,0,11,7,4,4
39,1,0,3,0,0,14,7,4,4
40,0,15,7,4,4,0,3,0,0
41,1,0,3,0,0,8,7,4,4
42,1,0,3,0,0,12,7,4,4
43,0,12,7,4,4,0,3,0,0
44,1,0,3,0,0,9,7,4,4
45,0,12,7,4,4,0,3,0,0
46,1,0,3,0,0,4,7,4,4
47,1,0,3,0,0,19,7,4,4
48,0,8,7,4,4,0,3,0,0
49,1,0,3,0,0,7,7,4,4
50,1,0,3,0,0,5,7,4,4
51,0,24,7,4,4,0,3,0,0
52,0,7,7,4,4,0,3,0,0
53,0,22,7,4,4,0,3,0,0
54,0,7,7,4,4,0,3,0,0
55,1,0,3,0,0,4,7,4,4
56,0,14,7,4,4,0,3,0,0
57,1,0,3,0,0,7,7,4,4
58,0,14,7,4,4,0,3,0,0
59,1,0,3,0,0,8,7,4,4
60,1,0,3,0,0,16,7,4,4
61,1,0,3,0,0,11,7,4,4
62,0,18,7,4,4,0,3,0,0
63,1,0,3,0,0,16,7,4,4
64,0,8,7,4,4,0,3,0,0
65,0,8,7,4,4,0,3,0,0
66,1,0,3,0,0,21,7,4,4
67,1,0,3,0,0,12,7,4,4
68,0,10,7,4,4,0,3,0,0
69,1,0,3,0,0,15,7,4,4
70,1,0,3,0,0,15,7,4,4
71,1,0,3,0,0,15,7,4,4
72,0,17,7,4,4,0,3,0,0
73,0,7,7,4,4,0,3,0,0
74,1,0,3,0,0,16,7,4,4
75,1,0,3,0,0,11,7,4,4
76,1,0,3,0,0,12,7,4,4
77,1,0,3,0,0,11,7,4,4
78,1,0,3,0,0,13,7,4,4
79,1,0,3,0,0,22,7,4,4
80,0,20,7,4,4,0,3,0,0
81,1,0,3,0,0,22,7,4,4
82,0,23,7,4,4,0,3,0,0
83,0,24,7,4,4,0,3,0,0
84,1,0,3,0,0,13,7,4,4
85,0,19,7,4,4,0,3,0,0
86,1,0,3,0,0,4,7,4,4
87,1,0,3,0,0,20,7,4,4
88,0,15,7,4,4,0,3,0,0
89,1,0,3,0,0,10,7,4,4
90,1,0,3,0,0,13,7,4,4
91,0,20,7,4,4,0,3,0,0
92,0,20,7,4,4,0,3,0,0
93,0,12,7,4,4,0,3,0,0
94,0,21,7,4,4,0,3,0,0
95,0,25,7,4,4,0,3,0,0
96,1,0,3,0,0,12,7,4,4
97,0,22,7,4,4,0,3,0,0
98,1,0,3,0,0,12,7,4,4
99,0,23,7,4,4,0,3,0,0
